MODEL_YEAR,ADI_CD,REGION_CD,DEALER_CD,SERIES_CD,ADI_PipeSales,ADI_PipeMinus_1,ADI_PipeMinus_2,ADI_PipeMinus_3,ADI_DS_UNITS,LAT,LONG,MOS,decile
2016,001,EA,NJ057,6,-7,0,0,0,0,40.394077,-74.544739,0,1
2016,001,EA,NJ061,6,0,0,0,0,7,40.394077,-74.544739,0,7
2016,020,WE,CA232,E,0,0,0,0,0,38.732237,-121.225981,0,9
2017,,CE,CE555,B,-1,-3,-1,2,0,41.882953,-87.975404,0,8
2017,,CE,CE555,F,0,0,0,0,4,41.882953,-87.975404,0,8
2017,,CE,CE555,G,0,0,0,0,7,41.882953,-87.975404,0,8
2017,,CE,CE555,J,0,0,0,0,1,41.882953,-87.975404,0,8
2017,,CE,CE555,N,0,0,0,0,1,41.882953,-87.975404,0,8
2017,,EA,EA555,4,0,0,0,0,1,40.350085,-74.441445,0,8
2017,,EA,EA555,B,3,3,0,0,13,40.350085,-74.441445,13,8
2017,,EA,EA555,E,0,3,0,0,1,40.350085,-74.441445,1,8
2017,,EA,EA555,F,0,0,0,-3,2,40.350085,-74.441445,0,8
2017,,EA,EA555,G,0,0,0,-2,2,40.350085,-74.441445,0,8
2017,,EA,EA555,L,-1,0,-1,-3,7,40.350085,-74.441445,0,8
2017,,SC,SC555,4,0,0,0,0,1,32.96451,-96.984901,0,7
2017,,SC,SC555,6,0,0,0,0,1,32.96451,-96.984901,0,7
2017,,SC,SC555,7,0,-1,0,0,2,32.96451,-96.984901,0,7
2017,,SC,SC555,B,0,0,0,1,1,32.96451,-96.984901,3,7
2017,,SC,SC555,G,0,0,0,1,0,32.96451,-96.984901,0,7
2017,,SC,SC555,N,0,0,0,0,3,32.96451,-96.984901,0,7
2017,,SO,SO555,6,0,0,0,0,0,34.036122,-84.505267,0,9
2017,,SO,SO555,7,0,0,0,-1,0,34.036122,-84.505267,0,9
2017,,SO,SO555,8,0,0,0,0,1,34.036122,-84.505267,0,9
2017,,SO,SO555,F,-1,-8,0,0,4,34.036122,-84.505267,0,9
2017,,SO,SO555,J,0,-1,0,-1,2,34.036122,-84.505267,0,9
2017,,SO,SO555,N,0,-1,0,0,1,34.036122,-84.505267,0,9
2017,,WE,WE555,1,1,0,0,0,0,33.71665,-117.944594,0,8
2017,,WE,WE555,4,2,1,0,1,0,33.71665,-117.944594,0,8
2017,,WE,WE555,6,0,0,-2,-3,1,33.71665,-117.944594,0,8
2017,,WE,WE555,7,0,-3,-1,0,0,33.71665,-117.944594,0,8
2017,,WE,WE555,8,0,0,0,0,0,33.71665,-117.944594,0,8
2017,,WE,WE555,B,1,0,-1,0,0,33.71665,-117.944594,0,8
2017,,WE,WE555,F,0,-2,0,0,0,33.71665,-117.944594,0,8
2017,,WE,WE555,G,-4,-3,-4,0,1,33.71665,-117.944594,0,8
2017,,WE,WE555,J,-1,-2,0,-1,0,33.71665,-117.944594,0,8
2017,,WE,WE555,L,-2,0,-3,0,0,33.71665,-117.944594,0,8
2017,001,EA,CT022,F,0,1,0,0,0,41.389689,-73.454963,0,7
2017,001,EA,NJ015,B,0,0,0,0,0,40.691867,-74.269598,0,8
2017,001,EA,NJ032,B,0,-1,0,0,0,39.98868,-74.17956,0,9
2017,001,EA,NJ032,E,0,-1,0,0,0,39.98868,-74.17956,0,9
2017,001,EA,NJ033,F,0,0,0,0,0,40.947842,-74.070107,0,9
2017,001,EA,NJ033,G,0,0,0,1,0,40.947842,-74.070107,0,9
2017,001,EA,NY119,B,0,-1,0,0,0,41.021378,-73.805692,0,5
2017,001,EA,NY126,B,0,0,0,1,0,40.708785,-73.624573,0,8
2017,001,EA,NY134,B,0,0,0,0,0,40.916607,-73.785532,0,5
2017,001,EA,NY136,B,0,0,0,2,0,40.871518,-73.084611,0,7
2017,002,WE,CA121,B,0,0,1,0,0,34.036901,-117.606236,0,9
2017,002,WE,CA321,B,0,1,-1,0,0,33.979568,-117.898437,0,9
2017,002,WE,CA321,J,0,0,0,0,0,33.979568,-117.898437,0,9
2017,002,WE,CA334,G,0,0,2,0,0,34.076656,-118.040904,0,6
2017,002,WE,CA334,J,1,0,0,0,0,34.076656,-118.040904,0,6
2017,002,WE,CA366,G,0,1,1,2,0,33.531454,-117.100268,0,8
2017,002,WE,CA375,B,0,0,1,0,1,33.766072,-117.973804,3,9
2017,002,WE,CA376,B,0,0,0,1,0,33.72103,-118.003329,0,6
2017,003,CE,IL003,B,0,0,0,0,0,42.078155,-87.817359,0,4
2017,003,CE,IL003,F,-1,0,0,0,1,42.078155,-87.817359,0,4
2017,003,CE,IL003,G,0,0,1,0,0,42.078155,-87.817359,0,4
2017,003,CE,IL044,8,0,0,1,0,0,42.182657,-87.805479,0,6
2017,003,CE,IL044,B,0,1,2,0,0,42.182657,-87.805479,0,6
2017,003,CE,IL044,G,0,0,1,1,0,42.182657,-87.805479,0,6
2017,003,CE,IL052,E,0,0,1,0,0,41.807564,-88.019241,0,8
2017,003,CE,IL052,G,0,0,1,1,0,41.807564,-88.019241,0,8
2017,003,CE,IL059,B,0,0,0,-1,1,41.55204,-88.11162,0,6
2017,003,CE,IL072,8,0,0,0,0,0,41.507329,-87.735557,0,8
2017,003,CE,IL073,B,0,0,0,0,0,41.923558,-87.816578,0,8
2017,003,CE,IL081,B,0,0,0,0,0,41.713314,-87.756652,0,7
2017,004,EA,DE004,B,0,0,0,0,0,39.70785,-75.734964,0,6
2017,004,EA,DE007,B,0,0,0,0,0,39.673263,-75.595423,0,5
2017,004,EA,DE008,B,0,0,0,0,0,39.149969,-75.531543,0,5
2017,004,EA,NJ040,B,0,-1,0,0,0,39.74748,-75.02232,0,7
2017,004,EA,NJ053,B,0,0,0,0,0,40.26654,-74.71284,0,6
2017,004,EA,PA024,B,0,0,0,0,0,40.534857,-75.505965,0,5
2017,004,EA,PA059,B,1,0,0,0,0,40.0165,-75.713718,0,7
2017,004,EA,PA065,N,0,0,1,0,0,40.077938,-75.303,0,9
2017,005,WE,CA304,7,0,0,0,1,0,37.268106,-121.844685,0,7
2017,005,WE,CA304,G,3,0,1,0,0,37.268106,-121.844685,0,7
2017,005,WE,CA304,L,2,0,1,1,0,37.268106,-121.844685,0,7
2017,005,WE,CA308,6,0,0,0,0,0,37.985575,-122.035167,0,5
2017,005,WE,CA341,B,0,1,0,0,0,37.972918,-122.333929,0,5
2017,007,CE,MI027,8,0,0,0,0,0,42.294678,-83.250573,0,4
2017,008,SC,TX062,B,0,0,0,0,0,32.846175,-96.963386,0,5
2017,008,SC,TX131,B,0,0,0,0,2,32.814395,-96.625303,0,8
2017,009,SO,MD010,B,0,0,0,0,0,39.643547,-77.718382,0,8
2017,009,SO,MD034,B,0,0,0,0,0,39.046797,-77.119654,0,7
2017,009,SO,VA051,B,0,0,0,1,1,38.888306,-77.453725,3,9
2017,010,SC,TX060,B,0,0,1,0,0,29.930003,-95.605601,0,4
2017,010,SC,TX111,1,0,0,0,0,0,30.003446,-95.277832,0,6
2017,010,SC,TX161,B,0,1,0,0,0,29.682326,-95.40041,0,7
2017,011,CE,OH073,B,0,0,0,0,0,41.38669,-81.527124,0,7
2017,013,CE,MN021,B,0,0,0,0,0,44.822599,-93.34154,0,8
2017,014,SO,FL002,B,0,0,0,0,0,25.93549,-80.21401,0,9
2017,014,SO,FL005,F,0,1,0,0,0,26.093836,-80.239494,0,9
2017,014,SO,FL008,N,0,0,0,0,0,25.901437,-80.306472,0,9
2017,014,SO,FL122,F,1,1,0,0,0,26.305181,-80.187797,0,9
2017,015,SO,GA002,J,0,0,-1,0,0,33.985868,-84.163754,0,8
2017,015,SO,GA037,7,0,1,1,0,0,33.897852,-84.306585,0,9
2017,015,SO,GA037,B,0,2,0,0,0,33.897852,-84.306585,0,9
2017,015,SO,GA037,F,0,2,0,0,0,33.897852,-84.306585,0,9
2017,015,SO,GA037,G,1,1,0,0,0,33.897852,-84.306585,0,9
2017,015,SO,GA037,L,0,0,2,0,0,33.897852,-84.306585,0,9
2017,015,SO,GA038,F,0,0,0,0,0,34.034049,-84.584675,0,9
2017,015,SO,GA063,1,0,0,0,0,0,34.177555,-84.854308,0,2
2017,018,SO,FL117,8,0,0,0,0,0,28.269457,-82.319078,0,9
2017,018,SO,FL126,F,0,2,0,0,0,27.999605,-81.679242,0,7
2017,020,WE,CA315,L,0,0,0,-1,0,38.481025,-121.444142,0,4
2017,021,SO,MD022,6,0,0,0,0,0,39.164525,-76.634664,0,6
2017,021,SO,MD040,L,0,1,0,0,0,39.002488,-76.510357,0,7
2017,021,SO,MD042,B,0,0,0,0,0,39.40409,-76.608279,0,9
2017,022,EA,CT007,B,0,1,0,0,0,41.351139,-72.108165,0,3
2017,023,WE,AZ020,6,0,0,1,0,0,35.52402,-113.99268,0,2
2017,024,WE,OR035,B,0,0,1,0,0,45.506393,-122.946368,0,4
2017,024,WE,WA007,B,0,0,0,0,0,45.644628,-122.623251,0,3
2017,026,WE,CA379,B,0,0,0,1,0,33.090581,-117.108862,0,6
2017,027,CE,KY012,B,0,0,0,0,1,38.91576,-84.3957,0,8
2017,027,CE,OH001,B,0,0,0,0,0,39.33444,-84.56226,0,8
2017,027,CE,OH018,B,0,0,0,1,0,39.29058,-84.33469,0,9
2017,027,CE,OH046,B,0,0,0,0,0,39.176213,-84.513602,0,5
2017,030,SO,FL074,B,0,1,0,0,0,29.23644,-81.05778,0,8
2017,030,SO,FL120,B,0,1,0,0,0,28.853853,-81.778191,0,8
2017,030,SO,FL137,B,0,2,0,0,0,28.765778,-81.276553,0,8
2017,031,SC,TN024,B,0,0,1,0,0,36.316241,-86.607771,0,6
2017,031,SC,TN045,B,0,0,0,0,0,36.211615,-86.306808,0,6
2017,031,SC,TN048,B,0,0,0,0,0,36.155873,-86.78928,0,4
2017,032,SO,NC043,B,0,0,1,1,1,35.6616,-81.37032,1.5,4
2017,032,SO,NC043,F,0,1,0,0,0,35.6616,-81.37032,0,4
2017,032,SO,NC048,4,0,0,0,0,0,35.411756,-80.646757,0,7
2017,032,SO,NC065,B,0,0,0,1,0,35.010982,-80.551224,0,7
2017,033,SC,LA024,B,0,0,0,-1,0,30.457687,-90.114529,0,6
2017,035,EA,NY013,7,0,0,0,1,0,42.969504,-78.798576,0,9
2017,035,EA,NY077,B,0,0,0,0,0,42.764164,-78.742821,0,5
2017,036,SC,OK024,J,0,2,0,0,0,35.252751,-97.460386,0,7
2017,038,SO,NC030,B,0,1,0,0,0,35.964557,-78.940527,0,4
2017,038,SO,NC061,1,0,0,0,1,0,35.370546,-77.930853,0,8
2017,038,SO,NC061,8,0,0,0,0,0,35.370546,-77.930853,0,8
2017,039,EA,RI011,E,0,0,-3,0,0,41.516863,-71.286792,0,6
2017,040,CE,MI023,L,0,0,1,0,0,42.273649,-85.688557,0,1
2017,041,SC,MS030,B,0,0,0,1,0,34.316846,-89.949955,0,5
2017,042,WE,UT002,6,0,1,0,0,0,40.756416,-111.89907,0,8
2017,042,WE,UT002,B,0,0,0,0,0,40.756416,-111.89907,0,8
2017,042,WE,UT002,J,1,0,0,0,0,40.756416,-111.89907,0,8
2017,043,SO,WV014,B,0,0,0,0,1,37.786941,-81.191873,0,6
2017,044,SC,TX016,J,0,1,0,0,0,29.501242,-98.573979,0,8
2017,044,SC,TX127,B,0,1,0,0,3,29.567119,-98.605723,9,7
2017,045,CE,KY018,B,0,0,1,1,0,38.258163,-85.606834,0,7
2017,046,SO,VA004,6,0,0,0,0,0,36.839129,-76.090953,0,9
2017,046,SO,VA004,8,0,0,0,0,0,36.839129,-76.090953,0,9
2017,046,SO,VA043,B,0,0,0,0,0,37.049912,-76.412922,0,4
2017,047,SC,AL009,B,0,0,0,0,0,33.157819,-87.51716,0,9
2017,048,EA,PA048,G,0,0,0,0,0,39.97683,-76.685313,0,4
2017,049,CE,OH048,B,0,1,0,0,0,39.940286,-83.843773,0,4
2017,049,CE,OH075,B,0,0,0,0,1,39.712421,-84.041488,0,5
2017,050,EA,PA018,8,0,1,0,0,0,41.234843,-75.877313,0,7
2017,050,EA,PA027,B,0,0,0,0,0,41.199614,-76.786403,0,2
2017,050,EA,PA055,B,0,0,-1,0,0,41.437061,-75.663443,0,8
2017,050,EA,PA086,B,0,0,1,1,0,40.99064,-75.2263,0,4
2017,052,EA,NY078,B,0,0,0,0,0,42.714746,-73.821155,0,5
2017,054,SC,OK026,B,0,0,0,0,1,35.7399,-95.38494,0,2
2017,054,SC,OK028,B,0,0,1,0,0,36.04503,-95.808242,0,8
2017,062,SO,FL121,F,0,1,0,0,0,26.708576,-80.096654,0,8
2017,062,SO,FL123,B,0,0,0,1,0,26.78494,-80.071224,0,7
2017,063,SO,FL118,B,0,0,0,0,0,30.223538,-81.757243,0,8
2017,063,SO,FL127,B,0,0,1,0,0,29.759403,-81.30397,0,7
2017,063,SO,FL127,J,0,0,0,0,0,29.759403,-81.30397,0,7
2017,066,CE,IA016,B,1,0,0,0,0,41.604998,-93.747731,0,9
2017,069,SO,VA048,B,0,1,0,0,0,37.399278,-79.174704,0,3
2017,070,CE,IL088,B,0,0,0,1,0,40.111668,-88.198416,0,5
2017,072,CE,NE008,6,0,0,1,1,0,41.150489,-95.908507,0,1
2017,072,CE,NE008,7,0,2,0,0,0,41.150489,-95.908507,0,1
2017,072,CE,NE008,G,0,1,0,0,0,41.150489,-95.908507,0,1
2017,078,EA,ME008,B,0,1,0,0,0,43.905571,-69.964566,0,2
2017,079,EA,PA021,F,0,0,0,0,0,40.499797,-78.388319,0,3
2017,081,SC,TX095,B,0,0,0,0,0,30.512352,-97.670283,0,9
2017,081,SC,TX157,B,0,0,0,0,0,30.0066,-97.80714,0,7
2017,094,EA,MA034,B,1,0,0,0,0,42.204025,-72.630051,0,7
2017,094,EA,MA053,D,0,0,0,0,0,42.101072,-72.579177,0,5
2017,098,CE,IL090,B,0,0,0,1,0,40.510903,-88.987912,0,5
2017,100,WE,NV025,1,0,0,0,0,0,36.080056,-115.213988,0,9
2017,127,CE,IN042,B,0,0,0,0,0,39.42715,-87.391878,0,2
2017,133,EA,NY024,B,0,0,0,0,0,42.05556,-76.02456,0,3
2017,135,EA,PA019,B,0,0,0,-1,0,42.124801,-80.063248,0,4
2017,147,SC,AR034,B,0,0,0,1,0,36.080874,-94.201559,0,4
2017,147,SC,AR035,B,0,0,0,1,0,36.375647,-94.209338,0,5
2017,152,SO,GA081,B,0,0,1,0,0,31.558731,-84.090313,0,5
2017,169,SC,MS036,B,0,0,0,0,1,32.372903,-88.696221,0,2
2017,173,SC,OK027,B,0,0,0,0,0,34.33249,-97.33532,0,5
2017,191,CE,IN007,B,0,0,0,0,0,40.322083,-86.910463,0,5
2017,197,SO,VA011,B,0,0,1,0,0,38.057163,-78.49313,0,4
2017,551,EA,WV021,7,0,0,0,1,0,39.569424,-79.992081,0,3
2017,588,SC,AL031,B,0,0,1,1,0,34.546718,-86.981852,0,5
2017,591,SC,GA082,B,1,0,0,0,0,34.934373,-85.151128,0,3
2017,591,SC,TN008,B,0,0,0,0,1,35.02529,-85.144734,0,4
2017,591,SC,TN008,J,0,1,0,0,0,35.02529,-85.144734,0,4
2017,600,SC,TX082,F,0,0,0,0,0,31.08966,-97.64226,0,9
2017,616,SO,MD035,B,0,0,2,0,1,38.640404,-75.867217,1.5,7
2017,616,SO,MD035,F,0,1,0,0,0,38.640404,-75.867217,0,7
2017,624,WE,CA328,B,1,0,0,0,0,38.285247,-122.008109,0,3
2018,,CE,CE555,1,0,0,0,0,2,41.882953,-87.975404,0,8
2018,,CE,CE555,2,0,1,0,4,31,41.882953,-87.975404,18.6,8
2018,,CE,CE555,4,0,2,4,4,4,41.882953,-87.975404,1.2,8
2018,,CE,CE555,6,0,0,1,1,12,41.882953,-87.975404,18,8
2018,,CE,CE555,8,1,4,2,3,11,41.882953,-87.975404,3.6666666667,8
2018,,CE,CE555,B,0,0,0,0,15,41.882953,-87.975404,0,8
2018,,CE,CE555,D,0,2,1,0,3,41.882953,-87.975404,3,8
2018,,CE,CE555,E,0,0,1,0,1,41.882953,-87.975404,3,8
2018,,CE,CE555,G,0,0,0,0,5,41.882953,-87.975404,0,8
2018,,CE,CE555,J,0,0,0,0,18,41.882953,-87.975404,0,8
2018,,CE,CE555,L,0,0,0,0,1,41.882953,-87.975404,0,8
2018,,CE,CE555,N,0,1,1,0,3,41.882953,-87.975404,4.5,8
2018,,CE,CE555,Q,0,0,2,2,1,41.882953,-87.975404,0.75,8
2018,,EA,EA555,1,0,0,1,2,1,40.350085,-74.441445,1,8
2018,,EA,EA555,2,0,4,4,3,9,40.350085,-74.441445,2.4545454545,8
2018,,EA,EA555,4,1,2,2,6,3,40.350085,-74.441445,0.9,8
2018,,EA,EA555,6,0,0,1,1,17,40.350085,-74.441445,25.5,8
2018,,EA,EA555,8,3,1,1,5,7,40.350085,-74.441445,3,8
2018,,EA,EA555,B,3,0,0,0,24,40.350085,-74.441445,0,8
2018,,EA,EA555,D,0,0,0,0,4,40.350085,-74.441445,0,8
2018,,EA,EA555,E,0,0,0,0,2,40.350085,-74.441445,0,8
2018,,EA,EA555,G,0,0,0,0,1,40.350085,-74.441445,0,8
2018,,EA,EA555,J,0,0,0,1,27,40.350085,-74.441445,81,8
2018,,EA,EA555,N,0,0,0,2,2,40.350085,-74.441445,3,8
2018,,EA,EA555,Q,0,0,0,3,3,40.350085,-74.441445,3,8
2018,,SC,SC555,1,0,0,0,1,2,32.96451,-96.984901,6,7
2018,,SC,SC555,2,0,0,0,3,9,32.96451,-96.984901,9,7
2018,,SC,SC555,4,0,0,1,2,6,32.96451,-96.984901,6,7
2018,,SC,SC555,6,0,0,0,0,4,32.96451,-96.984901,0,7
2018,,SC,SC555,8,0,0,1,1,7,32.96451,-96.984901,10.5,7
2018,,SC,SC555,B,0,0,-2,-2,10,32.96451,-96.984901,0,7
2018,,SC,SC555,D,0,0,0,4,12,32.96451,-96.984901,9,7
2018,,SC,SC555,E,0,0,-1,-1,1,32.96451,-96.984901,0,7
2018,,SC,SC555,G,0,0,0,0,1,32.96451,-96.984901,0,7
2018,,SC,SC555,J,0,0,0,1,11,32.96451,-96.984901,33,7
2018,,SC,SC555,N,0,0,0,0,2,32.96451,-96.984901,0,7
2018,,SC,SC555,Q,0,0,2,2,5,32.96451,-96.984901,3.75,7
2018,,SO,SO555,1,0,0,-2,-1,0,34.036122,-84.505267,0,9
2018,,SO,SO555,2,0,-4,0,2,22,34.036122,-84.505267,0,9
2018,,SO,SO555,4,0,2,0,8,5,34.036122,-84.505267,1.5,9
2018,,SO,SO555,6,-6,-9,-10,-6,22,34.036122,-84.505267,0,9
2018,,SO,SO555,8,-1,2,2,0,5,34.036122,-84.505267,3.75,9
2018,,SO,SO555,B,3,0,0,-1,9,34.036122,-84.505267,0,9
2018,,SO,SO555,D,0,0,0,-2,8,34.036122,-84.505267,0,9
2018,,SO,SO555,E,0,0,1,0,2,34.036122,-84.505267,6,9
2018,,SO,SO555,G,0,0,0,1,2,34.036122,-84.505267,6,9
2018,,SO,SO555,J,-2,-8,-5,-16,17,34.036122,-84.505267,0,9
2018,,SO,SO555,N,0,-1,-1,0,2,34.036122,-84.505267,0,9
2018,,SO,SO555,Q,1,-1,3,2,4,34.036122,-84.505267,3,9
2018,,WE,WE555,1,0,0,1,1,1,33.71665,-117.944594,1.5,8
2018,,WE,WE555,2,0,0,-1,6,6,33.71665,-117.944594,3.6,8
2018,,WE,WE555,4,1,0,0,3,9,33.71665,-117.944594,9,8
2018,,WE,WE555,6,-1,0,1,7,31,33.71665,-117.944594,11.625,8
2018,,WE,WE555,8,0,0,0,2,15,33.71665,-117.944594,22.5,8
2018,,WE,WE555,B,0,0,-1,2,2,33.71665,-117.944594,6,8
2018,,WE,WE555,D,0,0,0,0,11,33.71665,-117.944594,0,8
2018,,WE,WE555,E,0,0,0,0,1,33.71665,-117.944594,0,8
2018,,WE,WE555,G,0,1,0,0,4,33.71665,-117.944594,12,8
2018,,WE,WE555,J,0,1,4,14,33,33.71665,-117.944594,5.2105263158,8
2018,,WE,WE555,N,0,0,0,1,3,33.71665,-117.944594,9,8
2018,,WE,WE555,P,0,0,0,0,1,33.71665,-117.944594,0,8
2018,,WE,WE555,Q,0,1,1,1,3,33.71665,-117.944594,3,8
2018,001,EA,CT022,1,0,1,3,0,0,41.389689,-73.454963,0,7
2018,001,EA,CT022,2,1,6,6,13,8,41.389689,-73.454963,0.96,7
2018,001,EA,CT022,4,2,12,18,19,10,41.389689,-73.454963,0.612244898,7
2018,001,EA,CT022,6,0,3,5,6,0,41.389689,-73.454963,0,7
2018,001,EA,CT022,8,8,35,36,28,12,41.389689,-73.454963,0.3636363636,7
2018,001,EA,CT022,B,0,1,1,1,0,41.389689,-73.454963,0,7
2018,001,EA,CT022,D,0,1,2,2,1,41.389689,-73.454963,0.6,7
2018,001,EA,CT022,E,0,0,0,0,0,41.389689,-73.454963,0,7
2018,001,EA,CT022,G,0,0,1,1,0,41.389689,-73.454963,0,7
2018,001,EA,CT022,J,0,6,2,4,1,41.389689,-73.454963,0.25,7
2018,001,EA,CT022,N,0,3,1,5,16,41.389689,-73.454963,5.3333333333,7
2018,001,EA,CT022,Q,0,4,-1,10,0,41.389689,-73.454963,0,7
2018,001,EA,CT034,1,0,0,1,0,0,41.054668,-73.543191,0,7
2018,001,EA,CT034,2,1,3,3,3,20,41.054668,-73.543191,6.6666666667,7
2018,001,EA,CT034,4,0,9,9,15,8,41.054668,-73.543191,0.7272727273,7
2018,001,EA,CT034,6,0,0,1,4,5,41.054668,-73.543191,3,7
2018,001,EA,CT034,8,4,10,16,18,26,41.054668,-73.543191,1.7727272727,7
2018,001,EA,CT034,B,0,0,0,1,0,41.054668,-73.543191,0,7
2018,001,EA,CT034,D,0,1,1,0,7,41.054668,-73.543191,10.5,7
2018,001,EA,CT034,E,0,0,0,0,0,41.054668,-73.543191,0,7
2018,001,EA,CT034,J,0,3,1,1,5,41.054668,-73.543191,3,7
2018,001,EA,CT034,N,0,1,0,0,5,41.054668,-73.543191,15,7
2018,001,EA,CT034,Q,0,1,5,14,0,41.054668,-73.543191,0,7
2018,001,EA,CT037,1,0,0,4,0,1,41.168961,-73.26513,0.75,3
2018,001,EA,CT037,2,1,2,1,2,14,41.168961,-73.26513,8.4,3
2018,001,EA,CT037,4,3,4,3,8,4,41.168961,-73.26513,0.8,3
2018,001,EA,CT037,6,0,2,1,3,2,41.168961,-73.26513,1,3
2018,001,EA,CT037,8,5,8,13,10,12,41.168961,-73.26513,1.1612903226,3
2018,001,EA,CT037,B,0,0,0,0,0,41.168961,-73.26513,0,3
2018,001,EA,CT037,D,0,1,1,0,2,41.168961,-73.26513,3,3
2018,001,EA,CT037,G,0,0,0,0,1,41.168961,-73.26513,0,3
2018,001,EA,CT037,J,0,1,1,1,4,41.168961,-73.26513,4,3
2018,001,EA,CT037,N,0,1,0,0,3,41.168961,-73.26513,9,3
2018,001,EA,CT037,Q,2,3,6,4,2,41.168961,-73.26513,0.4615384615,3
2018,001,EA,NJ005,1,0,0,0,1,0,40.888195,-74.484822,0,8
2018,001,EA,NJ005,2,4,13,13,16,7,40.888195,-74.484822,0.5,8
2018,001,EA,NJ005,4,1,6,36,43,0,40.888195,-74.484822,0,8
2018,001,EA,NJ005,6,0,3,3,7,0,40.888195,-74.484822,0,8
2018,001,EA,NJ005,8,1,12,44,35,1,40.888195,-74.484822,0.032967033,8
2018,001,EA,NJ005,B,0,1,0,0,0,40.888195,-74.484822,0,8
2018,001,EA,NJ005,D,0,3,2,3,1,40.888195,-74.484822,0.375,8
2018,001,EA,NJ005,G,0,0,0,0,2,40.888195,-74.484822,0,8
2018,001,EA,NJ005,J,0,1,0,1,0,40.888195,-74.484822,0,8
2018,001,EA,NJ005,N,0,0,0,0,1,40.888195,-74.484822,0,8
2018,001,EA,NJ005,Q,0,0,9,19,0,40.888195,-74.484822,0,8
2018,001,EA,NJ007,1,0,0,0,1,0,40.63134,-74.43702,0,7
2018,001,EA,NJ007,2,3,8,8,14,5,40.63134,-74.43702,0.5,7
2018,001,EA,NJ007,4,5,12,22,35,39,40.63134,-74.43702,1.6956521739,7
2018,001,EA,NJ007,6,0,0,0,4,0,40.63134,-74.43702,0,7
2018,001,EA,NJ007,8,6,21,23,29,14,40.63134,-74.43702,0.5753424658,7
2018,001,EA,NJ007,B,0,0,0,0,0,40.63134,-74.43702,0,7
2018,001,EA,NJ007,D,0,0,0,1,0,40.63134,-74.43702,0,7
2018,001,EA,NJ007,G,0,0,0,0,1,40.63134,-74.43702,0,7
2018,001,EA,NJ007,J,0,0,1,1,0,40.63134,-74.43702,0,7
2018,001,EA,NJ007,N,0,0,0,1,0,40.63134,-74.43702,0,7
2018,001,EA,NJ007,Q,0,0,0,7,0,40.63134,-74.43702,0,7
2018,001,EA,NJ011,1,0,0,2,1,1,40.243519,-74.277392,1,9
2018,001,EA,NJ011,2,6,18,13,32,2,40.243519,-74.277392,0.0952380952,9
2018,001,EA,NJ011,4,5,38,45,41,9,40.243519,-74.277392,0.2177419355,9
2018,001,EA,NJ011,6,0,0,0,0,0,40.243519,-74.277392,0,9
2018,001,EA,NJ011,8,1,27,29,32,0,40.243519,-74.277392,0,9
2018,001,EA,NJ011,B,0,0,0,4,0,40.243519,-74.277392,0,9
2018,001,EA,NJ011,D,0,0,2,2,2,40.243519,-74.277392,1.5,9
2018,001,EA,NJ011,E,0,0,0,1,0,40.243519,-74.277392,0,9
2018,001,EA,NJ011,J,0,0,0,7,0,40.243519,-74.277392,0,9
2018,001,EA,NJ011,N,0,1,0,2,1,40.243519,-74.277392,1,9
2018,001,EA,NJ011,Q,0,5,11,23,0,40.243519,-74.277392,0,9
2018,001,EA,NJ015,1,1,0,2,0,3,40.691867,-74.269598,4.5,8
2018,001,EA,NJ015,2,3,13,21,19,21,40.691867,-74.269598,1.1886792453,8
2018,001,EA,NJ015,4,0,7,16,27,12,40.691867,-74.269598,0.72,8
2018,001,EA,NJ015,6,0,5,3,9,0,40.691867,-74.269598,0,8
2018,001,EA,NJ015,8,0,17,26,21,0,40.691867,-74.269598,0,8
2018,001,EA,NJ015,B,0,-1,0,0,0,40.691867,-74.269598,0,8
2018,001,EA,NJ015,D,1,1,0,0,2,40.691867,-74.269598,6,8
2018,001,EA,NJ015,G,0,0,0,0,2,40.691867,-74.269598,0,8
2018,001,EA,NJ015,J,1,7,0,5,1,40.691867,-74.269598,0.25,8
2018,001,EA,NJ015,N,0,0,1,1,2,40.691867,-74.269598,3,8
2018,001,EA,NJ015,Q,0,2,5,7,0,40.691867,-74.269598,0,8
2018,001,EA,NJ025,1,0,0,0,1,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,2,1,6,13,25,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,4,0,5,16,23,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,6,0,0,1,6,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,8,2,18,16,32,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,B,0,0,0,0,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,D,1,0,3,3,2,40.346944,-74.064722,1,7
2018,001,EA,NJ025,G,0,0,0,1,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,J,0,3,1,3,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,N,0,0,2,2,0,40.346944,-74.064722,0,7
2018,001,EA,NJ025,Q,0,1,3,9,0,40.346944,-74.064722,0,7
2018,001,EA,NJ032,1,0,0,0,1,2,39.98868,-74.17956,6,9
2018,001,EA,NJ032,2,3,32,30,44,18,39.98868,-74.17956,0.5094339623,9
2018,001,EA,NJ032,4,4,43,48,61,0,39.98868,-74.17956,0,9
